cell.line,time.pt,drug,compound,unlabeled,labeled,,sample
MEF no Ras,24,No Trx,tyrosine,2703.85,37912.89,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,tyrosine,4195.29,73562.7,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,tyrosine,2644.93,66692.12,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,tyrosine,1954.89,64552.06,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,tyrosine,199573.88,9.27,,DMEM_04
common,DMEM,DMEM,tyrosine,100682.41,63.84,,DMEM_03
common,DMEM,DMEM,tyrosine,117170.34,17.41,,DMEM_02
common,DMEM,DMEM,tyrosine,58679.84,16.38,,DMEM_01
common,blank,blank,tyrosine,426.7,15.91,,Blank_04
common,blank,blank,tyrosine,558.12,43.55,,Blank_03
common,blank,blank,tyrosine,202.54,15.26,,Blank_02
common,blank,blank,tyrosine,613.65,45.39,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,tyrosine,949.97,75358.95,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,tyrosine,497.55,48730.21,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,tyrosine,745.15,54648.57,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,tyrosine,441.64,41750.36,,40pLabeled_01
MEF with Ras,24,Torin,valine,26782.74,318269.43,,Ras_Torin_24h_04
MEF with Ras,24,Torin,valine,27804.27,350298.8,,Ras_Torin_24h_03
MEF with Ras,24,Torin,valine,25164.28,337288.89,,Ras_Torin_24h_02
MEF with Ras,24,Torin,valine,27166.15,334694.74,,Ras_Torin_24h_01
MEF with Ras,16,Torin,valine,22378.65,335450.48,,Ras_Torin_16h_03
MEF with Ras,16,Torin,valine,14898.06,311906.92,,Ras_Torin_16h_02
MEF with Ras,16,Torin,valine,17294.3,306987.69,,Ras_Torin_16h_01
MEF with Ras,24,PMA,valine,19902.09,345043.91,,Ras_PMA_24h_04
MEF with Ras,24,PMA,valine,19577.69,310235.72,,Ras_PMA_24h_03
MEF with Ras,24,PMA,valine,24120.23,280909.82,,Ras_PMA_24h_02
MEF with Ras,24,PMA,valine,24205.52,312717.19,,Ras_PMA_24h_01
MEF with Ras,16,PMA,valine,21845.21,339572.34,,Ras_PMA_16h_03
MEF with Ras,16,PMA,valine,19113.94,305403.15,,Ras_PMA_16h_02
MEF with Ras,16,PMA,valine,17048.55,316367.17,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,valine,22033.82,261246.09,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,valine,25553.4,321970.32,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,valine,22184.24,323860.79,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,valine,16626.79,308443.27,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,valine,13491.38,263282.32,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,valine,19801.64,251180.58,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,valine,23227.58,317507.47,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,valine,20442.37,294467.09,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,valine,22280.92,309816.95,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,valine,32219.77,477221.18,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,valine,15031.91,298327.78,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,valine,14640.88,301283.9,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,valine,18591.81,342757.95,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,valine,16616.82,315099.09,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,valine,23663.91,330384.2,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,valine,17968.89,276046.43,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,valine,18566.16,352396.02,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,valine,18175,322818.61,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,valine,18442.07,318812.21,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,valine,19013.26,337059.62,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,valine,20352.77,251389,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,valine,18520.99,245292.16,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,valine,17740.26,283370.94,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,valine,20697.81,348804.34,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,valine,17602.97,306717.96,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,valine,13225.63,339740.04,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,valine,15760.82,255997.95,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,valine,21452.93,317389.09,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,valine,19514.6,308315.56,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,valine,13941.4,323536.84,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,valine,19588.25,300188.53,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,valine,18277.61,291761.12,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,valine,16290.53,255215.82,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,valine,16759.19,339192.78,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,valine,18222.24,254888.02,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,valine,19595.95,312171.88,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,valine,21528.95,316050.61,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,valine,19689.42,284657.61,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,valine,12547.35,294731.91,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,valine,15639.81,336018.58,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,valine,17324.82,331688.12,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,valine,895951.36,58.38,,DMEM_04
common,DMEM,DMEM,valine,772720.1,44.58,,DMEM_03
common,DMEM,DMEM,valine,911402.94,140.06,,DMEM_02
common,DMEM,DMEM,valine,714019.33,38.94,,DMEM_01
common,blank,blank,valine,24.1,112.5,,Blank_04
common,blank,blank,valine,11.72,29.34,,Blank_03
common,blank,blank,valine,17.42,45.14,,Blank_02
common,blank,blank,valine,188,27.81,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,valine,4931.77,317142.56,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,valine,5211.48,324094.15,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,valine,5637.07,369249.87,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,valine,6327.07,331242.55,,40pLabeled_01
MEF with Ras,24,Torin,glutamine,862609.19,0,,Ras_Torin_24h_04
MEF with Ras,24,Torin,glutamine,825212.06,0,,Ras_Torin_24h_03
MEF with Ras,24,Torin,glutamine,938415.25,0,,Ras_Torin_24h_02
MEF with Ras,24,Torin,glutamine,801643.06,0,,Ras_Torin_24h_01
MEF with Ras,16,Torin,glutamine,911203.5,0,,Ras_Torin_16h_03
MEF with Ras,16,Torin,glutamine,822449,0,,Ras_Torin_16h_02
MEF with Ras,16,Torin,glutamine,885938.69,0,,Ras_Torin_16h_01
MEF with Ras,24,PMA,glutamine,703434.44,0,,Ras_PMA_24h_04
MEF with Ras,24,PMA,glutamine,778890.56,0,,Ras_PMA_24h_03
MEF with Ras,24,PMA,glutamine,822975.5,0,,Ras_PMA_24h_02
MEF with Ras,24,PMA,glutamine,919552.44,0,,Ras_PMA_24h_01
MEF with Ras,16,PMA,glutamine,882947.69,0,,Ras_PMA_16h_03
MEF with Ras,16,PMA,glutamine,801385.5,0,,Ras_PMA_16h_02
MEF with Ras,16,PMA,glutamine,888484.19,0,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,glutamine,800785,0,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,glutamine,766440.31,0,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,glutamine,825451.44,0,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,glutamine,914992.75,0,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,glutamine,781845.69,0,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,glutamine,797179.31,0,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,glutamine,843909.31,0,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,glutamine,818977.81,0,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,glutamine,875755.69,0,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,glutamine,1277696.38,0,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,glutamine,790686.81,0,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,glutamine,790757.44,0,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,glutamine,950064.75,0,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,glutamine,784996.19,0,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,glutamine,890367.69,0,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,glutamine,846257.69,0,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,glutamine,753288.69,0,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,glutamine,896563.69,0,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,glutamine,910167.81,0,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,glutamine,943614.5,0,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,glutamine,705893.31,0,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,glutamine,786457.44,0,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,glutamine,876699.81,0,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,glutamine,924070,0,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,glutamine,803207.56,0,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,glutamine,892731,0,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,glutamine,934998.56,0,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,glutamine,774869.06,0,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,glutamine,826865.75,0,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,glutamine,861930.81,0,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,glutamine,873000,0,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,glutamine,855819,0,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,glutamine,797722.06,0,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,glutamine,901187.75,0,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,glutamine,840988.69,0,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,glutamine,825344,0,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,glutamine,857722.94,0,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,glutamine,895089,0,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,glutamine,784167,0,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,glutamine,944354.25,0,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,glutamine,973793,0,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,glutamine,512137.41,0,,DMEM_04
common,DMEM,DMEM,glutamine,473503.84,0,,DMEM_03
common,DMEM,DMEM,glutamine,562638.94,0,,DMEM_02
common,DMEM,DMEM,glutamine,422973.59,0,,DMEM_01
common,blank,blank,glutamine,39.8,0,,Blank_04
common,blank,blank,glutamine,29.15,0,,Blank_03
common,blank,blank,glutamine,78.45,0,,Blank_02
common,blank,blank,glutamine,236.65,0,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,glutamine,916140,0,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,glutamine,1005978.31,0,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,glutamine,1116073.62,0,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,glutamine,951024,0,,40pLabeled_01
MEF with Ras,24,Torin,serine,67671.65,0,,Ras_Torin_24h_04
MEF with Ras,24,Torin,serine,62464.95,0,,Ras_Torin_24h_03
MEF with Ras,24,Torin,serine,66732.32,0,,Ras_Torin_24h_02
MEF with Ras,24,Torin,serine,63355.81,0,,Ras_Torin_24h_01
MEF with Ras,16,Torin,serine,59493.27,0,,Ras_Torin_16h_03
MEF with Ras,16,Torin,serine,67781.07,0,,Ras_Torin_16h_02
MEF with Ras,16,Torin,serine,62826.75,0,,Ras_Torin_16h_01
MEF with Ras,24,PMA,serine,66989.07,0,,Ras_PMA_24h_04
MEF with Ras,24,PMA,serine,63887.62,0,,Ras_PMA_24h_03
MEF with Ras,24,PMA,serine,52890.06,0,,Ras_PMA_24h_02
MEF with Ras,24,PMA,serine,54879.7,0,,Ras_PMA_24h_01
MEF with Ras,16,PMA,serine,74868.84,0,,Ras_PMA_16h_03
MEF with Ras,16,PMA,serine,74000.96,0,,Ras_PMA_16h_02
MEF with Ras,16,PMA,serine,59029.49,0,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,serine,60054.61,0,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,serine,52375.16,0,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,serine,51627.88,0,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,serine,57499.7,0,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,serine,52364.14,0,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,serine,49957.34,0,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,serine,61432.4,0,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,serine,58106.53,0,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,serine,51749.5,0,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,serine,84239.28,0,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,serine,65944.47,0,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,serine,62612.62,0,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,serine,59496.64,0,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,serine,55881.78,0,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,serine,60154.61,0,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,serine,54767.5,0,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,serine,49584.73,0,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,serine,80050.96,0,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,serine,63048.68,0,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,serine,69788.18,0,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,serine,56196.24,0,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,serine,64942.43,0,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,serine,50647.97,0,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,serine,65830.51,0,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,serine,66669.24,0,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,serine,61782.87,0,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,serine,64395.53,0,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,serine,55393.64,0,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,serine,47127.81,0,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,serine,54275.52,0,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,serine,52272.93,0,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,serine,60939.69,0,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,serine,59493.36,0,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,serine,60072.39,0,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,serine,60380.93,0,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,serine,61509.36,0,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,serine,50977.28,0,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,serine,56838.39,0,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,serine,69594.09,0,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,serine,68420.21,0,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,serine,57295.23,0,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,serine,62644.64,0,,DMEM_04
common,DMEM,DMEM,serine,49153.22,0,,DMEM_03
common,DMEM,DMEM,serine,65391.97,0,,DMEM_02
common,DMEM,DMEM,serine,43239.31,0,,DMEM_01
common,blank,blank,serine,17.91,0,,Blank_04
common,blank,blank,serine,18.59,0,,Blank_03
common,blank,blank,serine,12.72,0,,Blank_02
common,blank,blank,serine,19.99,0,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,serine,77718.18,0,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,serine,71406.45,0,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,serine,76597.15,0,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,serine,66191.54,0,,40pLabeled_01
MEF with Ras,24,Torin,glycine,79087.66,0,,Ras_Torin_24h_04
MEF with Ras,24,Torin,glycine,67815.79,0,,Ras_Torin_24h_03
MEF with Ras,24,Torin,glycine,81879.4,0,,Ras_Torin_24h_02
MEF with Ras,24,Torin,glycine,82326.2,0,,Ras_Torin_24h_01
MEF with Ras,16,Torin,glycine,57859.98,0,,Ras_Torin_16h_03
MEF with Ras,16,Torin,glycine,64263.64,0,,Ras_Torin_16h_02
MEF with Ras,16,Torin,glycine,53869.91,0,,Ras_Torin_16h_01
MEF with Ras,24,PMA,glycine,69350.16,0,,Ras_PMA_24h_04
MEF with Ras,24,PMA,glycine,61180.58,0,,Ras_PMA_24h_03
MEF with Ras,24,PMA,glycine,80219.15,0,,Ras_PMA_24h_02
MEF with Ras,24,PMA,glycine,78621.26,0,,Ras_PMA_24h_01
MEF with Ras,16,PMA,glycine,69244.65,0,,Ras_PMA_16h_03
MEF with Ras,16,PMA,glycine,70087.85,0,,Ras_PMA_16h_02
MEF with Ras,16,PMA,glycine,66314.07,0,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,glycine,58012.04,0,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,glycine,63142.82,0,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,glycine,67260.1,0,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,glycine,69127.74,0,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,glycine,60238.29,0,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,glycine,57538.72,0,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,glycine,75360.12,0,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,glycine,66665.98,0,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,glycine,79237.71,0,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,glycine,96370.12,0,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,glycine,62955.73,0,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,glycine,72474.97,0,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,glycine,72039.96,0,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,glycine,64651.96,0,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,glycine,74297.59,0,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,glycine,74651.63,0,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,glycine,77109.56,0,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,glycine,78597.65,0,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,glycine,65596.77,0,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,glycine,79262.55,0,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,glycine,69838.07,0,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,glycine,76676.04,0,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,glycine,65323.56,0,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,glycine,85031.91,0,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,glycine,77094.51,0,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,glycine,65994.18,0,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,glycine,76827.01,0,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,glycine,86348.68,0,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,glycine,72256.28,0,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,glycine,69894.96,0,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,glycine,66964.31,0,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,glycine,72439.84,0,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,glycine,62303.78,0,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,glycine,64851.08,0,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,glycine,66582.88,0,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,glycine,72697.62,0,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,glycine,60625.79,0,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,glycine,67489.61,0,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,glycine,51791.02,0,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,glycine,70868.8,0,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,glycine,65945.04,0,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,glycine,47919.82,0,,DMEM_04
common,DMEM,DMEM,glycine,35313.27,0,,DMEM_03
common,DMEM,DMEM,glycine,51760.02,0,,DMEM_02
common,DMEM,DMEM,glycine,34627.09,0,,DMEM_01
common,blank,blank,glycine,30.91,0,,Blank_04
common,blank,blank,glycine,11.98,0,,Blank_03
common,blank,blank,glycine,238.4,0,,Blank_02
common,blank,blank,glycine,5.24,0,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,glycine,60263.25,0,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,glycine,52119.01,0,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,glycine,60400.41,0,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,glycine,49605.3,0,,40pLabeled_01
MEF with Ras,24,Torin,tryptophan,84026.87,0,,Ras_Torin_24h_04
MEF with Ras,24,Torin,tryptophan,73617.23,0,,Ras_Torin_24h_03
MEF with Ras,24,Torin,tryptophan,88099.85,0,,Ras_Torin_24h_02
MEF with Ras,24,Torin,tryptophan,81272.42,0,,Ras_Torin_24h_01
MEF with Ras,16,Torin,tryptophan,84492.07,0,,Ras_Torin_16h_03
MEF with Ras,16,Torin,tryptophan,64934.86,0,,Ras_Torin_16h_02
MEF with Ras,16,Torin,tryptophan,57964,0,,Ras_Torin_16h_01
MEF with Ras,24,PMA,tryptophan,74817.5,0,,Ras_PMA_24h_04
MEF with Ras,24,PMA,tryptophan,77224.7,0,,Ras_PMA_24h_03
MEF with Ras,24,PMA,tryptophan,85719.81,0,,Ras_PMA_24h_02
MEF with Ras,24,PMA,tryptophan,80215.77,0,,Ras_PMA_24h_01
MEF with Ras,16,PMA,tryptophan,86292.03,0,,Ras_PMA_16h_03
MEF with Ras,16,PMA,tryptophan,87251.91,0,,Ras_PMA_16h_02
MEF with Ras,16,PMA,tryptophan,81102.4,0,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,tryptophan,70107.37,0,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,tryptophan,76983.84,0,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,tryptophan,73992.78,0,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,tryptophan,84181.41,0,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,tryptophan,67167.63,0,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,tryptophan,65136.38,0,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,tryptophan,72992.66,0,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,tryptophan,75523.91,0,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,tryptophan,77244.38,0,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,tryptophan,116342.44,0,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,tryptophan,79184.12,0,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,tryptophan,72606.18,0,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,tryptophan,79406.13,0,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,tryptophan,81154.95,0,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,tryptophan,86747.03,0,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,tryptophan,80338.75,0,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,tryptophan,71722.01,0,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,tryptophan,93589.73,0,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,tryptophan,71546.73,0,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,tryptophan,71929.3,0,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,tryptophan,76574.09,0,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,tryptophan,71036.94,0,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,tryptophan,85308.88,0,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,tryptophan,89712.7,0,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,tryptophan,76857.09,0,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,tryptophan,79323.87,0,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,tryptophan,84041.59,0,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,tryptophan,78142.34,0,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,tryptophan,78642.66,0,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,tryptophan,76900.41,0,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,tryptophan,81474.19,0,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,tryptophan,85337.31,0,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,tryptophan,74223.63,0,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,tryptophan,84364,0,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,tryptophan,80342.54,0,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,tryptophan,94408.34,0,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,tryptophan,85663.03,0,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,tryptophan,76920.71,0,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,tryptophan,83590.69,0,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,tryptophan,82317.93,0,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,tryptophan,89874.29,0,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,tryptophan,94756.94,0,,DMEM_04
common,DMEM,DMEM,tryptophan,73050.99,0,,DMEM_03
common,DMEM,DMEM,tryptophan,87763.55,0,,DMEM_02
common,DMEM,DMEM,tryptophan,60022.39,0,,DMEM_01
common,blank,blank,tryptophan,140.27,0,,Blank_04
common,blank,blank,tryptophan,14.84,0,,Blank_03
common,blank,blank,tryptophan,50.77,0,,Blank_02
common,blank,blank,tryptophan,10.08,0,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,tryptophan,80324.09,0,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,tryptophan,76793.88,0,,40pLabeled_03
